Text,POS,Dep,IsSent,parNum,NNRExtracts,Polarity,Sent
asked the Secretary of State for Scotland if he will make a statement on the latest Scottish unemployment figures.,askedVBN theDT SecretaryNNP ofIN StateNNP forIN ScotlandNNP ifIN hePRP willMD makeVB aDT statementNN onIN theDT latestJJS ScottishJJ unemploymentNN figuresNNS ,"root(ROOT-0, asked-1) det(Secretary-3, the-2) dobj(asked-1, Secretary-3) case(State-5, of-4) nmod:of(Secretary-3, State-5) case(Scotland-7, for-6) nmod:for(Secretary-3, Scotland-7) mark(make-11, if-8) nsubj(make-11, he-9) aux(make-11, will-10) advcl(asked-1, make-11) det(statement-13, a-12) dobj(make-11, statement-13) case(figures-19, on-14) det(figures-19, the-15) amod(figures-19, latest-16) amod(figures-19, Scottish-17) compound(figures-19, unemployment-18) nmod:on(statement-13, figures-19) punct(asked-1, .-20)",0,1,"[State, he, Secretary, ROOT, asked, make, statement, Scotland]",0,2
On 11 October 1979 unemployment in Scotland was 178 489 7.9 per cent.,OnIN 11CD OctoberNNP 1979CD unemploymentNN inIN ScotlandNNP wasVBD 178CD 489CD 79CD perIN centNN ,"root(ROOT-0, October-3) case(October-3, On-1) nummod(October-3, 11-2) nummod(unemployment-5, 1979-4) dep(October-3, unemployment-5) case(Scotland-7, in-6) nmod:in(unemployment-5, Scotland-7) dep(unemployment-5, was-8) compound(7.9-10, 178,489-9) nsubj(was-8, 7.9-10) case(cent-12, per-11) nmod:per(7.9-10, cent-12) punct(October-3, .-13)",0,2,[ ],0,2
The grave deterioration in the unemployment situation since we were last in office continues to cause the Government serious concern and our prime objective is to create an economic climate in Scotland and in the rest of the United Kingdom in which investment is encouraged and lasting jobs can be created.,TheDT graveNN deteriorationNN inIN theDT unemploymentNN situationNN sinceIN wePRP wereVBD lastJJ inIN officeNN continuesVBZ toTO causeVB theDT GovernmentNNP seriousJJ concernNN andCC ourPRP$ primeJJ objectiveNN isVBZ toTO createVB anDT economicJJ climateNN inIN ScotlandNNP andCC inIN theDT restNN ofIN theDT UnitedNNP KingdomNNP inIN whichWDT investmentNN isVBZ encouragedVBN andCC lastingVBG jobsNNS canMD beVB createdVBN ,"root(ROOT-0, continues-14) det(deterioration-3, The-1) amod(deterioration-3, grave-2) nsubj(continues-14, deterioration-3) case(situation-7, in-4) det(situation-7, the-5) compound(situation-7, unemployment-6) nmod:in(deterioration-3, situation-7) mark(last-11, since-8) nsubj(last-11, we-9) cop(last-11, were-10) acl(deterioration-3, last-11) case(office-13, in-12) nmod:in(last-11, office-13) mark(cause-16, to-15) xcomp(continues-14, cause-16) det(Government-18, the-17) nsubj(concern-20, Government-18) amod(concern-20, serious-19) dep(cause-16, concern-20) cc(concern-20, and-21) nmod:poss(objective-24, our-22) amod(objective-24, prime-23) nsubj(is-25, objective-24) dep(cause-16, is-25) conj:and(concern-20, is-25) mark(create-27, to-26) xcomp(is-25, create-27) det(climate-30, an-28) amod(climate-30, economic-29) dobj(create-27, climate-30) case(Scotland-32, in-31) nmod:in(climate-30, Scotland-32) cc(create-27, and-33) case(rest-36, in-34) det(rest-36, the-35) xcomp(is-25, rest-36) conj:and(create-27, rest-36) case(Kingdom-40, of-37) det(Kingdom-40, the-38) compound(Kingdom-40, United-39) nmod:of(rest-36, Kingdom-40) case(which-42, in-41) nmod:in(encouraged-45, which-42) nsubjpass(encouraged-45, investment-43) auxpass(encouraged-45, is-44) acl:relcl(Kingdom-40, encouraged-45) cc(encouraged-45, and-46) amod(jobs-48, lasting-47) nsubjpass(created-51, jobs-48) aux(created-51, can-49) auxpass(created-51, be-50) acl:relcl(Kingdom-40, created-51) conj:and(encouraged-45, created-51) punct(continues-14, .-52)",0,2,"[Government, serious, and, concern, cause]",0,2
This is the only way in which a longterm reduction in unemployment can be achieved.,ThisDT isVBZ theDT onlyJJ wayNN inIN whichWDT aDT longtermNN reductionNN inIN unemploymentNN canMD beVB achievedVBN ,"root(ROOT-0, way-5) nsubj(way-5, This-1) cop(way-5, is-2) det(way-5, the-3) amod(way-5, only-4) case(which-7, in-6) nmod:in(achieved-15, which-7) det(reduction-10, a-8) amod(reduction-10, longterm-9) nsubjpass(achieved-15, reduction-10) case(unemployment-12, in-11) nmod:in(reduction-10, unemployment-12) aux(achieved-15, can-13) auxpass(achieved-15, be-14) acl:relcl(way-5, achieved-15) punct(way-5, .-16)",0,2,[ ],0,2
As I have already said I have a very wide range of powers in this matter and I intend to use every one of them in the most helpful way possible to create new jobs  and to encourage firms to expand and create new employment in every way they can.,AsIN IPRP haveVBP alreadyRB saidVBD IPRP haveVBP aDT veryRB wideJJ rangeNN ofIN powersNNS inIN thisDT matterNN andCC IPRP intendVBP toTO useVB everyDT oneCD ofIN themPRP inIN theDT mostRBS helpfulJJ wayNN possibleJJ toTO createVB newJJ jobsNNS andCC toTO encourageVB firmsNNS toTO expandVB andCC createVB newJJ employmentNN inIN everyDT wayNN theyPRP canMD ,"root(ROOT-0, have-8) mark(said-5, As-1) nsubj(said-5, I-2) aux(said-5, have-3) advmod(said-5, already-4) advcl(have-8, said-5) punct(have-8, ,-6) nsubj(have-8, I-7) nsubj(encourage-40, I-7) det(range-12, a-9) advmod(wide-11, very-10) amod(range-12, wide-11) dobj(have-8, range-12) case(powers-14, of-13) nmod:of(range-12, powers-14) case(matter-17, in-15) det(matter-17, this-16) nmod:in(range-12, matter-17) cc(have-8, and-18) nsubj(intend-20, I-19) conj:and(have-8, intend-20) mark(use-22, to-21) xcomp(intend-20, use-22) det(one-24, every-23) dobj(use-22, one-24) case(them-26, of-25) nmod:of(one-24, them-26) case(way-31, in-27) det(way-31, the-28) advmod(helpful-30, most-29) amod(way-31, helpful-30) nmod:in(use-22, way-31) amod(way-31, possible-32) mark(create-34, to-33) xcomp(possible-32, create-34) amod(jobs-36, new-35) dobj(create-34, jobs-36) punct(have-8, ,-37) cc(have-8, and-38) mark(encourage-40, to-39) conj:and(have-8, encourage-40) dobj(encourage-40, firms-41) mark(expand-43, to-42) xcomp(encourage-40, expand-43) cc(expand-43, and-44) xcomp(encourage-40, create-45) conj:and(expand-43, create-45) amod(employment-47, new-46) dobj(create-45, employment-47) case(way-50, in-48) det(way-50, every-49) nmod:in(expand-43, way-50) nsubj(can-52, they-51) acl:relcl(way-50, can-52) punct(have-8, .-53)",0,6,[ ],0,1
As has already been said  there is more money available this year than the previous Government gave last year for that purpose  and we shall use it as vigorously as we can.,AsIN hasVBZ alreadyRB beenVBN saidVBD thereEX isVBZ moreJJR moneyNN availableJJ thisDT yearNN thanIN theDT previousJJ GovernmentNNP gaveVBD lastJJ yearNN forIN thatDT purposeNN andCC wePRP shallMD useVB itPRP asRB vigorouslyRB asIN wePRP canMD ,"root(ROOT-0, is-8) mark(said-5, As-1) aux(said-5, has-2) advmod(said-5, already-3) auxpass(said-5, been-4) advcl(is-8, said-5) punct(is-8, ,-6) expl(is-8, there-7) amod(money-10, more-9) nsubj(gave-18, money-10) amod(money-10, available-11) det(year-13, this-12) nmod:tmod(available-11, year-13) case(Government-17, than-14) det(Government-17, the-15) amod(Government-17, previous-16) nmod:than(available-11, Government-17) ccomp(is-8, gave-18) amod(year-20, last-19) nmod:tmod(gave-18, year-20) case(purpose-23, for-21) det(purpose-23, that-22) nmod:for(gave-18, purpose-23) punct(gave-18, ,-24) cc(gave-18, and-25) nsubj(use-28, we-26) aux(use-28, shall-27) ccomp(is-8, use-28) conj:and(gave-18, use-28) dobj(use-28, it-29) case(vigorously-31, as-30) nmod:as(use-28, vigorously-31) mark(can-34, as-32) nsubj(can-34, we-33) advcl(use-28, can-34) punct(is-8, .-35)",0,6,[ ],0,1
It was the Labour Government that presided over the doubling of unemployment in Scotland and left us with the situation with which we now have to cope.,ItPRP wasVBD theDT LabourJJ GovernmentNN thatWDT presidedVBD overIN theDT doublingNN ofIN unemploymentNN inIN ScotlandNNP andCC leftVBD usPRP withIN theDT situationNN withIN whichWDT wePRP nowRB haveVBP toTO copeVB ,"root(ROOT-0, Government-5) nsubj(Government-5, It-1) cop(Government-5, was-2) det(Government-5, the-3) compound(Government-5, Labour-4) nsubj(presided-7, that-6) nsubj(left-16, that-6) acl:relcl(Government-5, presided-7) case(doubling-10, over-8) det(doubling-10, the-9) nmod:over(presided-7, doubling-10) case(unemployment-12, of-11) nmod:of(doubling-10, unemployment-12) case(Scotland-14, in-13) nmod:in(unemployment-12, Scotland-14) cc(presided-7, and-15) acl:relcl(Government-5, left-16) conj:and(presided-7, left-16) dobj(left-16, us-17) case(situation-20, with-18) det(situation-20, the-19) nmod:with(left-16, situation-20) case(which-22, with-21) nmod:with(have-25, which-22) nsubj(have-25, we-23) advmod(have-25, now-24) acl:relcl(situation-20, have-25) mark(cope-27, to-26) xcomp(have-25, cope-27) punct(Government-5, .-28)",0,7,"[presided, and, Government, us, situation, It, ROOT, doubling, that, left]",0,2
We have seen the results of five years of Socialist policy.,WePRP haveVBP seenVBN theDT resultsNNS ofIN fiveCD yearsNNS ofIN SocialistNN policyNN ,"root(ROOT-0, seen-3) nsubj(seen-3, We-1) aux(seen-3, have-2) det(results-5, the-4) dobj(seen-3, results-5) case(years-8, of-6) nummod(years-8, five-7) nmod:of(results-5, years-8) case(policy-11, of-9) amod(policy-11, Socialist-10) nmod:of(years-8, policy-11) punct(seen-3, .-12)",0,8,[ ],0,2
The country voted for a change and it will get it.,TheDT countryNN votedVBD forIN aDT changeNN andCC itPRP willMD getVB itPRP ,"root(ROOT-0, voted-3) det(country-2, The-1) nsubj(voted-3, country-2) case(change-6, for-4) det(change-6, a-5) nmod:for(voted-3, change-6) cc(voted-3, and-7) nsubj(get-10, it-8) aux(get-10, will-9) conj:and(voted-3, get-10) dobj(get-10, it-11) punct(voted-3, .-12)",0,8,[ ],0,2
Everyone is sympathetic about the closure of the Singer factory  but is the right hon. Gentleman aware of the closure of British Shipbuilders' yard at Burntisland?,EveryoneNN isVBZ sympatheticJJ aboutIN theDT closureNN ofIN theDT SingerNNP factoryNN butCC isVBZ theDT rightJJ honNN GentlemanNNP awareNN ofIN theDT closureNN ofIN BritishJJ ShipbuildersNNP 'POS yardNN atIN BurntislandNNP ,"root(ROOT-0, sympathetic-3) nsubj(sympathetic-3, Everyone-1) cop(sympathetic-3, is-2) case(closure-6, about-4) det(closure-6, the-5) nmod:about(sympathetic-3, closure-6) case(factory-10, of-7) det(factory-10, the-8) compound(factory-10, Singer-9) nmod:of(closure-6, factory-10) punct(sympathetic-3, ,-11) cc(sympathetic-3, but-12) cop(Gentleman-17, is-13) det(Gentleman-17, the-14) amod(Gentleman-17, right-15) compound(Gentleman-17, hon.-16) conj:but(sympathetic-3, Gentleman-17) amod(Gentleman-17, aware-18) case(closure-21, of-19) det(closure-21, the-20) nmod:of(aware-18, closure-21) case(yard-26, of-22) amod(Shipbuilders-24, British-23) nmod:poss(yard-26, Shipbuilders-24) case(Shipbuilders-24, '-25) nmod:of(closure-21, yard-26) case(Burntisland-28, at-27) nmod:at(closure-21, Burntisland-28) punct(sympathetic-3, ?-29)",0,9,[ ],0,2
